 Htr/Hrms  H1/Hrms  H2/Hrms  H1/3/Hrms H1/10/Hrms H1/50/Hrms H1/100/Hrms H1/250/Hrms H1/1000/Hrms
  0.01000 44.24503  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.02000 25.41197  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.03000 18.37238  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.04000 14.59535  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.05000 12.20918  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.06000 10.55216  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.07000  9.32790  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.08000  8.38283  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.09000  7.62901  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.10000  7.01233  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.11000  6.49753  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.12000  6.06063  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.13000  5.68471  1.06042    1.27951    1.46663    1.64418     1.70694     1.78150      1.88068
  0.14000  5.35748  1.06042    1.27952    1.46663    1.64419     1.70694     1.78150      1.88068
  0.15000  5.06980  1.06042    1.27952    1.46663    1.64419     1.70694     1.78150      1.88068
  0.16000  4.81469  1.06043    1.27952    1.46663    1.64419     1.70694     1.78150      1.88068
  0.17000  4.58675  1.06043    1.27952    1.46664    1.64419     1.70694     1.78150      1.88068
  0.18000  4.38175  1.06043    1.27952    1.46664    1.64419     1.70694     1.78150      1.88069
  0.19000  4.19627  1.06043    1.27952    1.46664    1.64419     1.70695     1.78150      1.88069
  0.20000  4.02758  1.06043    1.27952    1.46664    1.64420     1.70695     1.78151      1.88069
  0.21000  3.87342  1.06043    1.27953    1.46665    1.64420     1.70695     1.78151      1.88070
  0.22000  3.73193  1.06044    1.27953    1.46665    1.64420     1.70696     1.78152      1.88070
  0.23000  3.60157  1.06044    1.27953    1.46665    1.64421     1.70696     1.78152      1.88071
  0.24000  3.48104  1.06044    1.27954    1.46666    1.64422     1.70697     1.78153      1.88072
  0.25000  3.36922  1.06045    1.27955    1.46667    1.64422     1.70698     1.78154      1.88073
  0.26000  3.26518  1.06046    1.27955    1.46668    1.64423     1.70699     1.78155      1.88074
  0.27000  3.16811  1.06046    1.27956    1.46669    1.64425     1.70700     1.78156      1.88075
  0.28000  3.07732  1.06047    1.27957    1.46670    1.64426     1.70702     1.78158      1.88077
  0.29000  2.99218  1.06048    1.27959    1.46671    1.64428     1.70703     1.78160      1.88079
  0.30000  2.91218  1.06049    1.27960    1.46673    1.64430     1.70705     1.78162      1.88081
  0.31000  2.83685  1.06051    1.27962    1.46675    1.64432     1.70708     1.78164      1.88083
  0.32000  2.76579  1.06053    1.27964    1.46677    1.64434     1.70710     1.78167      1.88086
  0.33000  2.69862  1.06055    1.27966    1.46680    1.64437     1.70714     1.78170      1.88090
  0.34000  2.63503  1.06057    1.27969    1.46683    1.64441     1.70717     1.78174      1.88094
  0.35000  2.57474  1.06059    1.27972    1.46687    1.64445     1.70721     1.78178      1.88098
  0.36000  2.51749  1.06062    1.27975    1.46691    1.64449     1.70726     1.78183      1.88103
  0.37000  2.46304  1.06065    1.27979    1.46695    1.64454     1.70731     1.78188      1.88109
  0.38000  2.41120  1.06069    1.27984    1.46700    1.64460     1.70737     1.78195      1.88116
  0.39000  2.36178  1.06073    1.27989    1.46706    1.64467     1.70744     1.78202      1.88123
  0.40000  2.31461  1.06078    1.27995    1.46713    1.64474     1.70751     1.78210      1.88131
  0.41000  2.26954  1.06083    1.28001    1.46720    1.64482     1.70760     1.78218      1.88141
  0.42000  2.22643  1.06089    1.28008    1.46728    1.64491     1.70769     1.78228      1.88151
  0.43000  2.18515  1.06096    1.28016    1.46737    1.64501     1.70780     1.78239      1.88163
  0.44000  2.14559  1.06103    1.28025    1.46747    1.64512     1.70791     1.78251      1.88175
  0.45000  2.10765  1.06111    1.28034    1.46758    1.64525     1.70804     1.78265      1.88190
  0.46000  2.07122  1.06120    1.28045    1.46770    1.64538     1.70819     1.78280      1.88205
  0.47000  2.03623  1.06129    1.28057    1.46784    1.64554     1.70834     1.78296      1.88223
  0.48000  2.00258  1.06140    1.28070    1.46799    1.64570     1.70851     1.78314      1.88242
  0.49000  1.97021  1.06152    1.28084    1.46815    1.64588     1.70870     1.78334      1.88262
  0.50000  1.93905  1.06165    1.28099    1.46833    1.64608     1.70891     1.78355      1.88285
  0.51000  1.90903  1.06179    1.28116    1.46852    1.64630     1.70914     1.78379      1.88310
  0.52000  1.88009  1.06194    1.28135    1.46873    1.64654     1.70938     1.78405      1.88337
  0.53000  1.85218  1.06211    1.28155    1.46896    1.64679     1.70965     1.78432      1.88367
  0.54000  1.82524  1.06229    1.28176    1.46921    1.64707     1.70994     1.78463      1.88399
  0.55000  1.79924  1.06248    1.28200    1.46948    1.64738     1.71025     1.78496      1.88433
  0.56000  1.77413  1.06269    1.28225    1.46977    1.64770     1.71059     1.78531      1.88471
  0.57000  1.74986  1.06292    1.28253    1.47009    1.64806     1.71096     1.78569      1.88511
  0.58000  1.72640  1.06317    1.28283    1.47043    1.64844     1.71136     1.78611      1.88555
  0.59000  1.70371  1.06343    1.28314    1.47079    1.64885     1.71178     1.78655      1.88602
  0.60000  1.68176  1.06372    1.28349    1.47119    1.64929     1.71224     1.78703      1.88652
  0.61000  1.66052  1.06402    1.28385    1.47161    1.64976     1.71273     1.78754      1.88706
  0.62000  1.63997  1.06434    1.28425    1.47206    1.65026     1.71325     1.78808      1.88763
  0.63000  1.62006  1.06469    1.28467    1.47254    1.65080     1.71381     1.78867      1.88825
  0.64000  1.60078  1.06506    1.28511    1.47305    1.65138     1.71441     1.78929      1.88891
  0.65000  1.58211  1.06546    1.28559    1.47360    1.65199     1.71504     1.78996      1.88961
  0.66000  1.56401  1.06588    1.28610    1.47418    1.65264     1.71572     1.79066      1.89036
  0.67000  1.54647  1.06633    1.28664    1.47480    1.65334     1.71644     1.79141      1.89115
  0.68000  1.52947  1.06680    1.28721    1.47545    1.65407     1.71720     1.79221      1.89199
  0.69000  1.51300  1.06730    1.28781    1.47615    1.65485     1.71801     1.79305      1.89288
  0.70000  1.49702  1.06783    1.28845    1.47688    1.65567     1.71887     1.79394      1.89382
  0.71000  1.48153  1.06839    1.28913    1.47766    1.65654     1.71977     1.79489      1.89481
  0.72000  1.46650  1.06898    1.28984    1.47847    1.65746     1.72072     1.79588      1.89586
  0.73000  1.45193  1.06961    1.29060    1.47933    1.65842     1.72172     1.79693      1.89697
  0.74000  1.43780  1.07026    1.29139    1.48024    1.65944     1.72278     1.79803      1.89813
  0.75000  1.42409  1.07095    1.29222    1.48119    1.66051     1.72389     1.79918      1.89935
  0.76000  1.41079  1.07167    1.29309    1.48219    1.66163     1.72505     1.80040      1.90063
  0.77000  1.39789  1.07243    1.29400    1.48324    1.66280     1.72627     1.80167      1.90198
  0.78000  1.38538  1.07323    1.29496    1.48434    1.66403     1.72755     1.80300      1.90338
  0.79000  1.37324  1.07405    1.29596    1.48548    1.66532     1.72888     1.80440      1.90485
  0.80000  1.36146  1.07492    1.29701    1.48668    1.66666     1.73027     1.80585      1.90639
  0.81000  1.35004  1.07582    1.29810    1.48793    1.66806     1.73173     1.80737      1.90799
  0.82000  1.33895  1.07676    1.29923    1.48923    1.66952     1.73324     1.80895      1.90966
  0.83000  1.32820  1.07774    1.30041    1.49059    1.67104     1.73482     1.81059      1.91140
  0.84000  1.31778  1.07876    1.30164    1.49199    1.67262     1.73646     1.81230      1.91320
  0.85000  1.30766  1.07982    1.30292    1.49346    1.67426     1.73816     1.81408      1.91508
  0.86000  1.29785  1.08091    1.30424    1.49497    1.67596     1.73992     1.81592      1.91702
  0.87000  1.28834  1.08205    1.30561    1.49654    1.67772     1.74175     1.81783      1.91904
  0.88000  1.27911  1.08323    1.30703    1.49817    1.67954     1.74364     1.81981      1.92112
  0.89000  1.27016  1.08444    1.30850    1.49985    1.68143     1.74560     1.82185      1.92328
  0.90000  1.26149  1.08570    1.31001    1.50159    1.68337     1.74762     1.82396      1.92551
  0.91000  1.25307  1.08700    1.31158    1.50338    1.68538     1.74971     1.82614      1.92781
  0.92000  1.24492  1.08833    1.31319    1.50523    1.68746     1.75186     1.82838      1.93018
  0.93000  1.23701  1.08971    1.31485    1.50714    1.68959     1.75408     1.83070      1.93262
  0.94000  1.22934  1.09113    1.31656    1.50910    1.69179     1.75636     1.83308      1.93513
  0.95000  1.22191  1.09258    1.31832    1.51111    1.69405     1.75871     1.83552      1.93772
  0.96000  1.21471  1.09408    1.32013    1.51318    1.69637     1.76112     1.83804      1.94037
  0.97000  1.20773  1.09562    1.32198    1.51531    1.69875     1.76359     1.84062      1.94310
  0.98000  1.20096  1.09719    1.32388    1.51749    1.70120     1.76613     1.84327      1.94589
  0.99000  1.19440  1.09881    1.32583    1.51972    1.70370     1.76873     1.84598      1.94876
  1.00000  1.18805  1.10046    1.32783    1.52201    1.70626     1.77139     1.84876      1.95169
  1.01000  1.18189  1.10215    1.32987    1.52435    1.70889     1.77411     1.85160      1.95469
  1.02000  1.17593  1.10388    1.33195    1.52674    1.71157     1.77690     1.85451      1.95776
  1.03000  1.17015  1.10565    1.33409    1.52918    1.71431     1.77974     1.85748      1.96089
  1.04000  1.16456  1.10745    1.33626    1.53168    1.71711     1.78264     1.86051      1.96409
  1.05000  1.15913  1.10930    1.33848    1.53423    1.71996     1.78561     1.86360      1.96736
  1.06000  1.15388  1.11117    1.34075    1.53682    1.72287     1.78863     1.86675      1.97068
  1.07000  1.14880  1.11308    1.34306    1.53947    1.72583     1.79171     1.86997      1.97407
  1.08000  1.14387  1.11503    1.34540    1.54216    1.72885     1.79484     1.87324      1.97753
  1.09000  1.13910  1.11701    1.34779    1.54490    1.73192     1.79803     1.87656      1.98104
  1.10000  1.13448  1.11903    1.35022    1.54768    1.73505     1.80127     1.87995      1.98461
  1.11000  1.13001  1.12107    1.35269    1.55051    1.73822     1.80456     1.88339      1.98824
  1.12000  1.12568  1.12315    1.35520    1.55339    1.74144     1.80791     1.88688      1.99193
  1.13000  1.12149  1.12526    1.35775    1.55631    1.74472     1.81131     1.89043      1.99567
  1.14000  1.11743  1.12740    1.36033    1.55927    1.74804     1.81476     1.89402      1.99947
  1.15000  1.11350  1.12958    1.36296    1.56228    1.75141     1.81825     1.89767      2.00332
  1.16000  1.10970  1.13178    1.36561    1.56532    1.75482     1.82180     1.90137      2.00723
  1.17000  1.10601  1.13401    1.36825    1.56840    1.75828     1.82539     1.90512      2.01118
  1.18000  1.10245  1.13627    1.37078    1.57153    1.76178     1.82902     1.90891      2.01519
  1.19000  1.09900  1.13855    1.37318    1.57469    1.76532     1.83270     1.91275      2.01924
